,CustomerID,Freq,SaleAmount,ElapsedDays,Freq_log,SaleAmount_log,ElapsedDays_log,ClusterLabel
0,12346,1,77183.6,326,0.6931471805599453,11.253955234248428,5.7899601708972535,3
1,12347,182,4309.999999999997,3,5.209486152841421,8.368925174747133,1.3862943611198906,1
2,12348,31,1797.24,76,3.4657359027997265,7.494563687769957,4.343805421853684,3
3,12349,73,1757.55,19,4.30406509320417,7.472244884833674,2.995732273553991,3
4,12350,17,334.40000000000003,311,2.8903717578961645,5.815323849389109,5.7430031878094825,0
5,12352,85,2506.040000000001,37,4.454347296253507,7.826858053356099,3.6375861597263857,3
6,12353,4,89.0,205,1.6094379124341003,4.499809670330265,5.327876168789581,0
7,12354,58,1079.4,233,4.07753744390572,6.985086621918461,5.455321115357702,3
8,12355,13,459.4,215,2.6390573296152584,6.132095676847728,5.375278407684165,0
9,12356,59,2811.4300000000007,23,4.0943445622221,7.941804157314054,3.1780538303479458,3
10,12357,131,6207.669999999996,34,4.882801922586371,8.733701981297274,3.5553480614894135,1
11,12358,19,1168.06,2,2.995732273553991,7.063955286074528,1.0986122886681098,2
12,12359,245,6310.030000000005,58,5.5053315359323625,8.750054175177759,4.07753744390572,1
13,12360,129,2662.0600000000004,53,4.867534450455582,7.887231116540211,3.9889840465642745,3
14,12361,10,189.89999999999998,288,2.3978952727983707,5.251749730731702,5.666426688112432,0
15,12362,266,5226.230000000003,4,5.58724865840025,8.561636780040622,1.6094379124341003,1
16,12363,23,552.0,110,3.1780538303479458,6.315358001522335,4.709530201312334,0
17,12364,85,1313.1000000000001,8,4.454347296253507,7.180907299649593,2.1972245773362196,1
18,12365,22,641.38,292,3.1354942159291497,6.465180028897591,5.680172609017068,0
19,12367,11,168.9,5,2.4849066497880004,5.135210028677887,1.791759469228055,2
20,12370,166,3541.939999999998,52,5.117993812416755,8.17271216992106,3.970291913552122,3
21,12371,63,1887.9600000000003,45,4.1588830833596715,7.543781692052325,3.828641396489095,3
22,12372,52,1298.0400000000002,72,3.970291913552122,7.169380809114137,4.290459441148391,3
23,12373,14,364.6,312,2.70805020110221,5.901539839579995,5.746203190540153,0
24,12374,33,742.93,26,3.5263605246161616,6.6119469443852195,3.295836866004329,2
25,12375,17,457.5000000000001,11,2.8903717578961645,6.12796029169652,2.4849066497880004,2
26,12377,77,1628.1199999999997,316,4.356708826689592,7.395795270713971,5.75890177387728,3
27,12378,219,4008.6200000000013,130,5.393627546352362,8.29645175271804,4.875197323201151,3
28,12379,40,852.2399999999997,82,3.713572066704308,6.7490408678236165,4.418840607796598,3
29,12380,104,2724.81,22,4.653960350157523,7.910520910634419,3.1354942159291497,1
30,12381,87,1845.3100000000006,5,4.477336814478207,7.520944331624912,1.791759469228055,1
31,12383,99,1850.5599999999997,185,4.605170185988092,7.523783805985769,5.225746673713202,3
32,12384,27,585.2700000000001,29,3.332204510175204,6.373780434317174,3.4011973816621555,2
33,12386,10,401.90000000000003,338,2.3978952727983707,5.998688392197302,5.82600010738045,0
34,12388,100,2780.6600000000003,16,4.61512051684126,7.930803150780257,2.833213344056216,1
35,12390,32,549.8399999999999,80,3.4965075614664802,6.311444385858925,4.394449154672439,3
36,12391,93,439.65999999999997,22,4.543294782270004,6.0882736030360425,3.1354942159291497,2
37,12393,64,1582.6000000000004,73,4.174387269895637,7.3674560152319755,4.30406509320417,3
38,12394,27,1272.48,64,3.332204510175204,7.149508589545504,4.174387269895637,3
39,12395,156,3018.6299999999987,20,5.056245805348308,8.012889586306857,3.044522437723423,1
40,12397,126,2409.9000000000005,36,4.844187086458591,7.7877554007552545,3.6109179126442243,3
41,12398,85,1635.6599999999999,46,4.454347296253507,7.4004128587924045,3.8501476017100584,3
42,12399,59,1108.65,120,4.0943445622221,7.011799929268738,4.795790545596741,3
43,12401,5,84.3,304,1.791759469228055,4.446174454497633,5.720311776607412,0
44,12402,11,225.6,324,2.4849066497880004,5.423186348593906,5.783825182329737,0
